Nome,Numeacao,Preco
Young X-Men: Final Genesis,Vol. 1: Final Genesis,8.99
Fear Itself,,14.99
War Of The Realms (2019),#2 (of 6),1.99
Avengers vs. X-Men,#1 (of 12),1.99
Web Warriors of the Spider-Verse: Electroverse,Vol. 1: Electroverse,8.99
Star Wars (2015),#69,3.99
X-Men: Exogenous,Vol. 4: Exogenous,8.99
Avengers (2018),#13,1.99
X-Men: Longshot,,10.99
Civil War,#5 (of 7),1.99
X-Men: Marauders,,19.99
Venom (2018),#5,1.99
Uncanny X-Men: First Class - Hated and Feared,,8.99
Age of Apocalypse: Warzones!,,8.99
Fantastic Four (2018),#2,1.99
Star Wars: Darth Vader: The Shu-Torun War,Vol. 3: The Shu-Torun War,8.99
Conan The Barbarian: The Life And Death Of Conan Book One,Vol. 1: The Life And Death Of Conan Book One,10.99
Ultimates: Omniversal: Civil War II,Vol. 2: Civil War II,10.99
Invaders (2019),#5,1.99
What If? AVX,,6.99
Star Wars (2015),#57,1.99
Amazing Spider-Man (2015-2018),#800,3.99
Cosmic Ghost Rider (2018),#5 (of 5),1.99
Ghost Rider: The Last Stand,Vol. 2: The Last Stand,12.99
Fantastic Four (2018),#4,1.99
Captain America (2018),#10,1.99
Amazing Spider-Man (2018),#22,1.99
Amazing Fantasy: Spider-Man!,#15: Spider-Man!,1.99
Tony Stark: Iron Man (2018),#5,1.99
Doctor Strange (2018),#16,1.99
Aero (2019),#3,3.99
Amazing Spider-Man Masterworks,Vol. 1,16.99
Immortal Hulk (2018),#13,1.99
Ghost Rider (1973-1983),#1,1.99
Fantastic Four (2018),#5,3.99
"Peter Porker, The Spectacular Spider-Ham",Vol. 1,10.99
Conan The Barbarian: Exodus (2019),#1,3.99
Captain Marvel (2019),#1,1.99
Avengers (2012-2015),#2,1.99
X-Men '92: The World Is A Vampire,Vol. 1: The World Is A Vampire,8.99
Black Panther And The Agents Of Wakanda (2019),#1,3.99
Avengers: The Last White Event,Vol. 2: The Last White Event,8.99
Fantastic Four (2018),#8,1.99
Eternals By Neil Gaiman,,12.99
Civil War,#3 (of 7),1.99
Superior Spider-Man (2018),#10,3.99
Amazing Spider-Man (2018),#2,1.99
Uncanny X-Men By Kieron Gillen,Vol. 4,10.99
Thor (2018-2019),#4,1.99
Amazing Spider-Man (2018),#21,1.99
Star Wars (2015),#56,1.99
Star Wars: Age Of Resistance - Poe Dameron (2019),#1,3.99
War Of The Realms (2019),#4 (of 6),1.99
Star Wars (2015),#68,3.99
Avengers vs. X-Men,#4 (of 12),1.99
Thor (2018-2019),#6,1.99
Superior Spider-Man (2018),#8,3.99
Star Wars: Vader - Dark Visions (2019),#5 (of 5),1.99
X-Men: Skinning of Souls,,14.99
Spider-Verse: Warzones!,,8.99
Creatures on the Loose (1971-1975),#37,1.99
Captain Marvel (2019),#8,3.99
The Punisher: War In Bagalia,Vol. 2: War In Bagalia,10.99
Age Of X-Man Alpha (2019),#1,1.99
Rocket: The Blue River Score,Vol. 1: The Blue River Score,10.99
Fantastic Four (2018),#1,1.99
The Marvel Art Of Star Wars,,16.99
Star Wars: Age Of Resistance - Captain Phasma (2019),#1,3.99
Deadpool: World's Greatest: Millionaire With A Mouth,Vol. 1: Millionaire With A Mouth,8.99
Guardians Of The Galaxy: The Final Gauntlet,Vol. 1: The Final Gauntlet,10.99
Avengers vs. X-Men,#2 (of 12),1.99
Civil War: X-Men,,6.99
Venom (2018),#13,1.99
Star Wars: Hope Dies,Vol. 9: Hope Dies,12.99
Extermination (2018),#5 (of 5),1.99
X-Men: Inferno Crossovers,,14.99
Guardians of the Galaxy: Legacy,Vol. 1: Legacy,10.99
Champions (2019),#1,1.99
The Mighty Thor: Thunder In Her Veins,Vol. 1: Thunder In Her Veins,8.99
Star Wars: Skywalker Strikes,Vol. 1: Skywalker Strikes,10.99
Eternals (1976-1978),#1,1.99
X-Men: The Curse Is Broken,,10.99
Amazing Spider-Man (2018),#20,1.99
X-Men by Peter Milligan: Dangerous Liaisons,Vol. 1: Dangerous Liaisons,19.99
X-Men: Age Of Apocalypse - Twilight,,19.99
Web Of Venom: Carnage Born (2018),#1,1.99
Astonishing X-Men: Weaponized,,10.99
Uncanny X-Men: The Complete Collection by Matt Fraction,Vol. 1,16.99
Creatures on the Loose (1971-1975),#35,1.99
Avengers: Time Runs Out,Vol. 2,8.99
Magnificent Ms. Marvel (2019),#5,3.99
Amazing Spider-Man (1963-1998),#121,1.99
Spider-Man: Kraven's Last Hunt,,10.99
Star Wars (2015),#62,1.99
Tony Stark: Iron Man: Self-Made Man,Vol. 1: Self-Made Man,8.99
Ultimate Galactus: Ultimate Secret,Vol. 2: Ultimate Secret,6.99
Magneto: Last Days,Vol. 4: Last Days,10.99
Secret War,,8.99
Civil War,#4 (of 7),1.99
Star Wars: The Ashes of Jedha,Vol. 7: The Ashes of Jedha,10.99
Defenders: The Best Defense (2018),#1,1.99
Star Wars (2015),#5,1.99
Ms. Marvel: No Normal,Vol. 1: No Normal,8.99
Captain America (2018),#9,1.99
Creatures on the Loose (1971-1975),#36,1.99
Savage Avengers (2019),#1,4.99
X-Men: Domino,,16.99
Doctor Strange (2018),#5,1.99
X-Men: Reload by Chris Claremont: The End Of History,Vol. 1: The End Of History,19.99
Deadpool vs. The Punisher,,8.99
Wolverine: Old Man Logan: Old Monsters,Vol. 4: Old Monsters,8.99
Venom vs. Carnage,,6.99
Thor: Who Holds The Hammer?,Vol. 2: Who Holds The Hammer?,6.99
Star Wars (2015),#63,1.99
Darth Vader (2015-2016),#1,1.99
Star Wars: Doctor Aphra (2016),#31,1.99
Avengers/X-Men: Utopia,,19.99
Star Wars Vol. 2 Collection,,16.99
X-Men: New Age Of Apocalypse,,10.99
Superior Spider-Man,#22,1.99
Star Wars: Darth Vader: End of Games,Vol. 4: End of Games,10.99
Immortal Hulk (2018),#16,1.99
Creatures on the Loose (1971-1975),#34,1.99
Web Of Venom: Venom Unleashed (2019),#1,1.99
Champions (2019),#6,1.99
Star Wars: Doctor Aphra (2016),#7,1.99
X-Men Forever: The Secret History of the Sentinels,Vol. 2: The Secret History of the Sentinels,8.99
What If? Wolverine: Enemy of The State,,1.99
X-Men: Inferno,,29.99
Age of Ultron,#1 (of 10),1.99
X-Men: Lifedeath,,6.99
Star Wars: Doctor Aphra: Remastered,Vol. 3: Remastered,10.99
Star Wars (2015),#31,1.99
Spider-Man (2016-2018),#1,1.99
Runaways by Rainbow Rowell: Find Your Way Home,Vol. 1: Find Your Way Home,10.99
Avengers vs. X-Men,#10 (of 12),1.99
Champions (2019),#5,1.99
Darth Vader (2017-2018),#22,1.99
Star Wars (2015),#2,1.99
Spider-Geddon,,14.99
Doctor Strange (2018),#13,1.99
Avengers (2016-2018),#679,1.99
X-Men: Forever: Picking Up Where We Left Off,Vol. 1: Picking Up Where We Left Off,8.99
Avengers vs. X-Men,#9 (of 12),1.99
Avengers (2016-2018),#676,1.99
Star Wars: Mutiny At Mon Cala,Vol. 8: Mutiny At Mon Cala,10.99
X-Men: Legacy - Divided He Stands,,8.99
X-Men: Legionquest,,19.99
Uncanny X-Men: Rise and Fall of the Shi'ar Empire,,19.99
House of M,#8 (of 8),1.99
Moon Knight: From The Dead,Vol. 1: From The Dead,10.99
Avengers/X-Men: Bloodties,,10.99
Fantastic Four (1961-1998),#347,1.99
Mystique By Brian K. Vaughan Ultimate Collection,,19.99
Star Wars (2015),#32,1.99
Ironheart (2018),#10,3.99
Spider-Man Noir,#1 (of 4),1.99
Avengers (1963-1996),#151,0.99
Star Wars: Doctor Aphra (2016),#8,1.99
Avengers: Unleashed: Kang War One,Vol. 1: Kang War One,10.99
Fantastic Four: 4 Yancy Street (2019),#1,4.99
What If? Punisher (2018),#1,1.99
Thor (2018-2019),#3,1.99
Marvels Epilogue (2019),#1,4.99
Black Panther (2018),#2,1.99
X-Men: Day of the Atom,,16.99
Avengers: Prelude To Infinity,Vol. 3: Prelude To Infinity,10.99
Thor (2018-2019),#15,3.99
X-Men Season One,,9.99
Superior Iron Man: Stark Contrast,Vol. 2: Stark Contrast,8.99
X-Men: The Shattering,,19.99
Captain America (2018),#7,1.99
Tony Stark: Iron Man (2018),#1,1.99
Doctor Strange (2018),#14,1.99
Superior Spider-Man: The Superior Venom,Vol. 5: The Superior Venom,10.99
Ultimates (2015-2016),#1,1.99
Marvel Team-Up (2019),#3,3.99
Incredible Hulk (1999-2007),#93,1.99
Amazing Spider-Man Masterworks,Vol. 2,16.99
Marvel Comics Presents (2019),#4,4.99
Iron Man: Legacy of Doom,,2.99
Ghost Rider (1973-1983),#2,1.99
Uncanny X-Men (2011-2012),#11,1.99
Magnificent Ms. Marvel (2019),#2,3.99
Journey to Star Wars: The Force Awakens - Shattered Empire,#1 (of 4),1.99
Fearless (2019),#2 (of 4),4.99
X-Men vs. Avengers,,8.99
Wolverine: Old Man Logan: Berzerker,Vol. 1: Berzerker,8.99
X-Men: Powerless,,10.99
Thor: Road To War Of The Realms,Vol. 2: Road To War Of The Realms,8.99
Spider-Man/Deadpool: Side Pieces,Vol. 2: Side Pieces,8.99
Doctor Strange (2018),#10,1.99
Darth Vader (2015-2016),#15,1.99
House of M,#3 (of 8),1.99
Immortal Hulk (2018),#15,1.99
Fantastic Four: Wedding Special (2018),#1,4.99
All-New Wolverine: The Four Sisters,Vol. 1: The Four Sisters,10.99
Sentry: Man Of Two Worlds,,8.99
Captain America (2018),#6,1.99
Avengers: No Road Home (2019),#6 (of 10),1.99
Star Wars: The Escape,Vol. 10: The Escape,10.99
Uncanny X-Men: Breaking Point,,10.99
Amazing Spider-Man (2018),#5,1.99
Conan The Barbarian (2019),#1,1.99
Daredevil (2019),#3,1.99
X-Men Milestones: Mutant Massacre,,19.99
Avengers (2018),#7,1.99
Major X (2019),#1 (of 6),1.99
Ghost Rider: Apocalypse Soon,Vol. 3: Apocalypse Soon,4.99
Sensational Spider-Man: Self-Improvement (2019),#1,4.99
Star Wars: Age Of Republic - Count Dooku (2019),#1,1.99
Captain Marvel (2012-2013),#1,1.99
AVX: Consequences,#1 (of 5),1.99
House of M,#5 (of 8),1.99
Miles Morales: Straight Out Of Brooklyn,Vol. 1: Straight Out Of Brooklyn,10.99
Uncanny X-Men: Lovelorn,,8.99
Captain Marvel (2019),#4,1.99
Eternals by Jack Kirby,Vol. 2,14.99
Star Wars: Vader Down,,10.99
Avengers: Time Runs Out,Vol. 3,8.99
Uncanny X-Men (2018-2019),#21,1.99
Star Wars: Vader - Dark Visions (2019),#4 (of 5),1.99
Black Panther (2018),#6,1.99
Fantastic Four (1961-1998),#352,1.99
Web Of Venom: Ve'Nam (2018),#1,1.99
House of M,#4 (of 8),1.99
Creatures on the Loose (1971-1975),#33,1.99
Age Of X-Man: Apocalypse & The X-Tracts,,8.99
Miles Morales: Spider-Man (2018),#3,1.99
Avengers (2018),#8,1.99
Ultimate Spider-Man (2014),#200,1.99
Star Wars Vol. 1 Collection,,16.99
Venom (2018),#11,3.99
New Avengers: A.I.M.: Civil War II,Vol. 3: Civil War II,12.99
Star Wars: Tie Fighter (2019),#5 (of 5),3.99
New Avengers (2015-2016),#15,1.99
Creatures on the Loose (1971-1975),#32,1.99
Incredible Hulk (1999-2007),#95,1.99
Avengers (2016-2018),#684,1.99
Avengers vs. X-Men,#12 (of 12),1.99
Conan The Barbarian (2019),#8,3.99
Daredevil (2019),#8,3.99
Amazing Spider-Man (2018),#20.HU,1.99
Star Wars: Doctor Aphra: Aphra,Vol. 1: Aphra,10.99
Extermination (2018),#4 (of 5),1.99
Tony Stark: Iron Man: Stark Realities,Vol. 2: Stark Realities,10.99
Savage Sword Of Conan (2019),#9,3.99
X-Men Red (2018),#11,1.99
Uncanny X-Men: The Birth of Generation Hope,,8.99
Savage Sword Of Conan (2019),#7,3.99
Uncanny X-Men (2013-2015),#600,2.99
Conan Chronicles Epic Collection: Out Of The Darksome Hills,,24.99
Spider-Gwen: Greater Power,Vol. 1: Greater Power,10.99
X-Men: X-Club,,8.99
Star Wars (2015),#14,1.99
Spider-Man/Deadpool (2016-2019),#1,1.99
Moon Knight: Dead Will Rise,Vol. 2: Dead Will Rise,10.99
New Avengers (2015-2016),#12,1.99
Avengers vs. X-Men,#6 (of 12),1.99
Captain America: The Death of Captain America: Death of the Dream,Vol. 1: Death of the Dream,10.99
Spider-Man 2099: Spider-Verse,Vol. 2: Spider-Verse,10.99
X-Men: Phoenix Endsong,,8.99
Extermination (2018),#2 (of 5),1.99
Age of Ultron,#2 (of 10),1.99
X-Men: Die By The Sword,,8.99
Immortal Hulk (2018),#14,1.99
Thor (2018-2019),#7,1.99
Captain America: Winter Soldier,Vol. 1,12.99
Black Panther (2018),#1,1.99
Carnage USA,,8.99
Astonishing X-Men: Unmasked,,16.99
X-Men: Worst X-Man Ever,,8.99
Savage Sword Of Conan (2019),#2,1.99
Star Wars: Darth Maul - Son of Dathomir,,8.99
Magneto: Infamous,Vol. 1: Infamous,10.99
Star Wars: Yoda's Secret War,Vol. 5: Yoda's Secret War,10.99
Avengers (2016-2018),#678,1.99
Spider-Man: Miles Morales,Vol. 3,12.99
Magnificent Ms. Marvel (2019),#4,3.99
Deadpool vs. Carnage,,6.99
Ultimate Comics Spider-Man (2011-2013),#1,1.99
Captain America (2018),#1,1.99
Spider-Gwen: Ghost-Spider (2018-2019),#4,1.99
Captain America (2018),#4,1.99
Spider-Gwen: Ghost-Spider (2018-2019),#10,1.99
Fantastic Four: Road Trip,Vol. 2: Road Trip,3.99
Creatures on the Loose (1971-1975),#31,1.99
District X: Mr. M,Vol. 1: Mr. M,10.99
Darth Vader (2017-2018),#11,1.99
Star Wars: Darth Vader: Dark Lord of the Sith: Legacy's End,Vol. 2: Legacy's End,10.99
Amazing Spider-Man (2014-2015),#11,1.99
X-Men: Fall of the Mutants,Vol. 2,24.99
Ghost Rider: The Life and Death of Johnny Blaze,Vol. 2: The Life and Death of Johnny Blaze,10.99
Guardians of the Galaxy: Angela,Vol. 2: Angela,12.99
X-Men: Original Sin,,10.99
All-New X-Men / Indestructible Hulk / Superior Spider-Man: The Arms Of The Octopus,,6.99
X-Men Forever: Come To Mother... Russia!,Vol. 3: Come To Mother... Russia!,8.99
Star Wars: Age Of Rebellion - Villains,,8.99
X-Men: Legacy - Aftermath,,8.99
Star Wars: Tales of the Jedi - The Sith War (1995-1996),#1 (of 6),1.99
Amazing Spider-Man: Spider-Verse Prelude,Vol. 2: Spider-Verse Prelude,6.99
Darth Vader (2017-2018),#18,1.99
Spider-Gwen: Weapon of Choice,Vol. 2: Weapon of Choice,8.99
X-Men: Bloodline,Vol. 3: Bloodline,8.99
Avengers (2018),#16,1.99
Marvel Zombies,,8.99
Star Wars (2015),#54,1.99
Uncanny X-Men by Kieron Gillen,Vol. 1,6.99
Uncanny X-Force: Deathlok Nation,Vol. 2: Deathlok Nation,6.99
Amazing Spider-Man (2015-2018),#1,1.99
Avengers vs. X-Men,#11 (of 12),1.99
Death's Head (2019),#3 (of 4),3.99
Avengers (2018),#3,1.99
Amazing Spider-Man (2015-2018),#801,1.99
Guardians of the Galaxy (2008-2010),#1,1.99
Marvel 1602,,14.99
Avengers (2018),#15,1.99
Immortal Iron Fist: The Last Iron Fist Story,Vol. 1: The Last Iron Fist Story,10.99
Daredevil (2019),#9,3.99
Guardians of the Galaxy (2019),#6,1.99
Venom (2018),#14,1.99
Uncanny X-Men: Quarantine,,8.99
Age of Ultron: The Complete Event,,29.99
Fantastic Four (2018),#3,1.99
You Are Deadpool (2018),#1 (of 5),1.99
X-Men: War Machines,,8.99
Amazing Spider-Man (2018),#3,1.99
Star Wars: The Screaming Citadel,,8.99
Venom by Donny Cates: Rex,Vol. 1: Rex,10.99
Uncanny X-Men: The Extremists,,8.99
Avengers (2016-2018),#677,1.99
Amazing Spider-Man (2015-2018),#797,1.99
Uncanny X-Force: Apocalypse Solution,Vol. 1: Apocalypse Solution,6.99
Uncanny X-Men (1963-2011),#1,1.99
Miles Morales: Spider-Man (2018),#2,1.99
Darth Vader (2015-2016),#14,1.99
Wolverine: The End,,10.99
Star Wars (2015),#4,1.99
Tony Stark: Iron Man (2018),#4,1.99
War Of The Realms Omega (2019),#1,4.99
X-Men: Reckless Abandonment,,10.99
Deadpool Kills the Marvel Universe,#1 (of 4),1.99
Amazing Spider-Man (2018),#4,1.99
Uncanny X-Men (1963-2011),#101,1.99
Thanos: The Infinity Relativity,,9.99
Spider-Man Noir,#4 (of 4),1.99
Miles Morales: Spider-Man (2018),#6,1.99
Silver Surfer: The Best Defense (2018),#1,1.99
Avengers (2018),#17,1.99
X-Men: Legacy - Salvage,,12.99
X-Men Origins,,10.99
Cable & Deadpool: Bosom Buddies,Vol. 4: Bosom Buddies,10.99
Savage Sword Of Conan (2019),#8,3.99
Star Wars: Age Of Republic - Jango Fett (2019),#1,1.99
Star Wars: The Screaming Citadel (2017),#1,1.99
New Avengers: A.I.M.: Standoff,Vol. 2: Standoff,8.99
Moon Knight: In The Night,Vol. 3: In The Night,8.99
Fantastic Four: 1234,#1,1.99
Uncanny X-Men (2018-2019) Annual,#1,4.99
Venom (2018),#1,1.99
All-New X-Men: Inevitable: Ghosts Of Cyclops,Vol. 1: Ghosts Of Cyclops,10.99
Amazing Spider-Man Masterworks,Vol. 17,16.99
Avengers vs. X-Men,#7 (of 12),1.99
House of M,#2 (of 8),1.99
Infinity War: Collected Edition,,19.99
Incredible Hulk (1999-2007),#94,1.99
Star Wars: Age Of Rebellion - Heroes,,6.99
Spider-Gwen: Ghost-Spider (2018-2019),#5,1.99
Star Wars: Age Of Rebellion Special (2019),#1,1.99
Extermination (2018),#3 (of 5),1.99
Amazing Spider-Man: The Parker Luck,Vol. 1: The Parker Luck,10.99
Immortal Hulk: The Best Defense (2018),#1 (of 1),1.99
Avengers (2018),#12,1.99
Star Wars (2015),#13,1.99
War Of The Realms (2019),#1 (of 6),1.99
Ultimate Spider-Man: Ultimate Collection,Vol. 1,16.99
Amazing Spider-Man (2018),#8,1.99
Amazing Spider-Man (2015-2018),#799,1.99
Thor: God of Thunder: The God Butcher,Vol. 1: The God Butcher,8.99
Ben Reilly: Scarlet Spider (2017-2018),#1,1.99
Avengers vs. X-Men,#8 (of 12),1.99
Thor: God of Thunder: The Accursed,Vol. 3: The Accursed,12.99
Avengers (2012-2015),#3,1.99
Amazing Spider-Man (2015-2018),#798,1.99
X-Men: To Serve And Protect,,6.99
Incredible Hulk (1999-2007),#96,1.99
Venom (2018),#12,3.99
X-Men Blue: Reunion,Vol. 0 : Reunion,19.99
Ms. Marvel (2006-2010),#2,1.99
Deadpool Kills the Marvel Universe,#4 (of 4),1.99
Fantastic Four By Jonathan Hickman,Vol. 1,8.99
Tony Stark: Iron Man (2018),#15,3.99
All-New Wolverine: Old Woman Laura,Vol. 6: Old Woman Laura,8.99
Star Wars (2015),#53,1.99
Ultimates 2 (2016-2017),#6,1.99
Secret Wars (2015-2016),#3 (of 9),0.99
X-Men Legacy: Legion: Invasive Exotics,Vol. 2: Invasive Exotics,10.99
X-Men By Brian Wood: Blank Generation,Vol. 1: Blank Generation,10.99
Uncanny X-Men (2018-2019),#20,1.99
Guardians of the Galaxy: New Guard: Emperor Quill,Vol. 1: Emperor Quill,8.99
Eternals: Manifest Destiny,,6.99
Spider-Man (2016-2018),#2,1.99
Old Man Quill (2019),#7 (of 12),3.99
Return Of Wolverine (2018-2019),#2 (of 5),1.99
X-Men: Nation X,,19.99
Star Wars: Doctor Aphra (2016),#5,1.99
Thunderbolts: No Quarter,Vol. 1: No Quarter,10.99
All-New X-Men (2012-2015),#8,1.99
Ghost Rider Finale (2007),#1,1.99
Savage Sword Of Conan: The Cult Of Koga Thun,,10.99
Black Panther (2018),#3,1.99
X-Men: Operation Zero Tolerance,,19.99
Daredevil (2019),#1,1.99
Uncanny X-Men: First Class - Knights of Hykon,,6.99
Avengers: Rage of Ultron,,9.99
Captain Marvel (2019),#2,1.99
World War Hulk,#1 (of 5),1.99
Friendly Neighborhood Spider-Man (2019),#12,3.99
Star Wars (2015),#33,1.99
Avengers (1963-1996) Annual,#6,0.99
FF by Jonathan Hickman,Vol. 2,10.99
X-Men: Second Coming,,24.99
Venom (2018),#10,1.99
Superior Spider-Man: My Own Worst Enemy,Vol. 1: My Own Worst Enemy,8.99
Cable & Deadpool: Paved With Good Intentions,Vol. 6: Paved With Good Intentions,12.99
Age of X Universe,#1 (of 2),1.99
Secret Empire (2017),#5 (of 10),1.99
Darth Vader (2015-2016),#13,1.99
Avengers (2018),#9,1.99
Thor (2018-2019),#11,1.99
Star Wars Legends Epic Collection: The Empire,Vol. 1,29.99
Marvel Team-Up (2019),#5,3.99
Secret Empire (2017),#10 (of 10),1.99
